Project ID,Status,Input File,Video Title,Caption & Hashtags,Original Duration,Short Duration,Scene Count,Opening Hook Score,Effects Summary,Output File,Created At,Rendered At
"VID_20260603_180225","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","32.0s","6","0.95","Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up, Epic Reveal","","2026-07-20 06:52",""
"VID_20260603_180225","❌ Failed","","","","","","","","","","","2026-07-20 06:58"
"VID_20260603_180225","❌ Failed","","","","","","","","","","","2026-07-20 07:03"
"VID_20260603_180225","❌ Failed","","","","","","","","","","","2026-07-20 07:08"
"VID_20260603_180225","🎬 Rendered","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/incoming/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","35.0s","7","0.9","Epic Reveal, Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/rendered/VID_20260603_180225_final.mp4","","2026-07-20 07:12"
"VID_20260603_180225","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","01:29","32.0s","6","0.95","Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up, Epic Reveal","/archive/VID_20260603_180225/VID_20260603_180225_final.mp4","2026-07-20 14:06","2026-07-20 14:12"
"VID_20260603_180225","🎬 Rendered","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/incoming/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","35.0s","7","0.9","Epic Reveal, Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/rendered/VID_20260603_180225_final.mp4","","2026-07-20 07:41"
"VID_20260603_180225","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng... #lamsachgiay #meovat","01:29","32.0s","6","0.95","Fast Motion, Satisfying Timewarp, Epic Reveal","/archive/VID_20260603_180225/VID_20260603_180225_final.mp4","2026-07-20 14:06:44","2026-07-20 14:47:30"
"VID_20260603_180225","🎬 Rendered","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/incoming/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","35.0s","7","0.9","Epic Reveal, Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/rendered/VID_20260603_180225_final.mp4","","2026-07-20 14:50:07"
"VID_20260603_180225","","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","","","","","","","","","",""
"VID_20260711_105406","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260711_105406.mp4","Đập hộp máy làm bánh Elmich siêu xinh","Chiêm ngưỡng chiếc máy làm bánh sandwich, waffle đa năng cực tiện lợi cho căn bếp. #unboxing #reviewgiadung #maylambanh #elmich #decorbep","131.2s","34.0s","7","0.8","Cinematic Zoom, Fast Motion, Epic Reveal, Zoom In","/Volumes/Media/Auto-Video-Factory/archive/VID_20260711_105406/VID_20260711_105406_final.mp4","2026-07-29 19:08:43","2026-07-29 19:38:18"
"VID_20260712_101525","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260712_101525.mp4","Băng Keo Y Tế Chống Thấm Nước Siêu Xịn","Bóc hộp cuộn băng keo y tế chống thấm nước có màng trong suốt bám dính cực tốt, có sẵn vạch chia ô cực tiện lợi. #bangkeoyte #chongthamnuoc #reviewgiadung #tienichgiadinh","60.8s","21.5s","4","0.95","Epic Reveal, Zoom In, Cinematic Zoom, Flash","","2026-07-29 19:44:51",""
"VID_20260712_101525","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260712_101525.mp4","Băng Keo Y Tế Chống Thấm Nước Siêu Xịn","Bóc hộp cuộn băng keo y tế chống thấm nước có màng trong suốt bám dính cực tốt, có sẵn vạch chia ô cực tiện lợi. #bangkeoyte #chongthamnuoc #reviewgiadung #tienichgiadinh","60.8s","21.5s","4","0.95","Epic Reveal, Zoom In, Cinematic Zoom, Flash","/Volumes/Media/Auto-Video-Factory/archive/VID_20260712_101525/VID_20260712_101525_final.mp4","2026-07-29 19:44:51","2026-07-29 19:46:43"
"VID_20260712_101652","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260712_101652.mp4","Vòi Sen Tăng Áp Măt Siêu To Khổng Lồ Cực Đã","Unboxing vòi sen tăng áp xám xịn xò mặt siêu rộng tắm siêu phê #voisen #reviewgiadung #unboxing #dodunggiadinh","36.5s","36.0s","5","0.1","Jump Cuts, Fast Motion, Epic Reveal, Cinematic Zoom, Glow","","2026-07-31 12:30:04",""
"VID_20260712_101652","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260712_101652.mp4","Vòi Sen Tăng Áp Măt Siêu To Khổng Lồ Cực Đã","Unboxing vòi sen tăng áp xám xịn xò mặt siêu rộng tắm siêu phê #voisen #reviewgiadung #unboxing #dodunggiadinh","36.5s","15.0s","3","0.95","Epic Reveal, Cinematic Zoom, Glow","/Volumes/Media/Auto-Video-Factory/archive/VID_20260712_101652/VID_20260712_101652_final.mp4","2026-07-31 12:30:04","2026-07-31 12:30:31"
"VID_20260712_151050","Long2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260712_151050.mp4","Unboxing Cây Giữ Phom Giày Tây Shoe Tree Gỗ Tự Nhiên","Đập hộp và trải nghiệm chi tiết cây giữ phom giày tây gỗ tự nhiên lò xo kép cực xịn. #unboxing #shoetree #chamsocgiay #giaytay #mensfashion","141.4s","31.0s","7","0.2","Fast Motion, Zoom In, Satisfying Timewarp, Epic Reveal, Cinematic Zoom, Shake, Flash","","2026-07-31 12:37:14",""
"VID_20260712_151050","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260712_151050.mp4","Unboxing Cây Giữ Phom Giày Tây Shoe Tree Gỗ Tự Nhiên","Đập hộp và trải nghiệm chi tiết cây giữ phom giày tây gỗ tự nhiên lò xo kép cực xịn. #unboxing #shoetree #chamsocgiay #giaytay #mensfashion","141.4s","33.0s","7","0.85","Flash, Zoom In, Satisfying Timewarp, Epic Reveal, Cinematic Zoom, Shake","/Volumes/Media/Auto-Video-Factory/archive/VID_20260712_151050/VID_20260712_151050_final.mp4","2026-07-31 12:37:14","2026-07-31 12:38:00"
"combined_master_1785730317556","Short2Short","🤖 Timeline Ready","/Users/khan/Developer/Auto-Video-Factory/incoming/temp_concat/combined_master_1785730317556.mp4","Phối đồ Vintage Nhẹ Nhàng Cùng Váy Linen","Gợi ý outfit phong cách vintage cổ điển với đầm linen dáng xòe và dép phối màu cực xinh. #vintagefashion #damlinen #outfitof-the-day #phoidochill","16.1s","16.0s","4","0.3","Jump Cuts, Epic Reveal, Cinematic Zoom, Smooth Transition","","2026-08-03 11:13:00",""
"combined_master_1785730317556","Long2Short","🎬 Rendered","/Users/khan/Developer/Auto-Video-Factory/incoming/temp_concat/combined_master_1785730317556.mp4","Phối đồ Vintage Nhẹ Nhàng Cùng Váy Linen","Gợi ý outfit phong cách vintage cổ điển với đầm linen dáng xòe và dép phối màu cực xinh. #vintagefashion #damlinen #outfitof-the-day #phoidochill","16.1s","13.0s","3","0.9","Epic Reveal, Cinematic Zoom, Smooth Transition","/Volumes/Media/Auto-Video-Factory/archive/combined_master_1785730317556/combined_master_1785730317556_final.mp4","2026-08-03 11:13:00","2026-08-03 11:13:19"
"DJI_20260323085451_0008_D_short01","Long2Short","🎬 Rendered","/Volumes/Media/Camera/OsmoNano/202603/DJI_20260323085451_0008_D.MP4","Chuẩn Bị Dụng Cụ & Pha Màu Nhuộm Giày Da","Hướng dẫn chi tiết quy trình chuẩn bị dụng cụ, pha màu nhuộm và thao tác làm mới đôi giày da cũ chuyên nghiệp. #phuchoigiayda #meohaycuocsong #dothucong #chamsocgiay","285.4s","18.0s","5","0.9","Fast Motion, Cinematic Zoom, Satisfying Timewarp, Speed Up, Epic Reveal","/Volumes/Media/Auto-Video-Factory/archive/DJI_20260323085451_0008_D_short01/DJI_20260323085451_0008_D_short01_final.mp4","2026-08-03 11:28:22","2026-08-03 11:38:13"
"DJI_20260323085451_0008_D_short02","Long2Short","🎬 Rendered","/Volumes/Media/Camera/OsmoNano/202603/DJI_20260323085451_0008_D.MP4","Kỹ Thuật Nhuộm & Dặm Màu Bề Mặt Giày Da","Hướng dẫn chi tiết kỹ thuật dùng mút xốp dặm màu cho đôi giày da đều màu, lên vân cực chuẩn và tự nhiên. #nhuomgiayda #dammaugiay #chamsocgiayda #handmade","285.4s","14.0s","4","0.95","Zoom In, Fast Motion, Satisfying Timewarp, Epic Reveal","/Volumes/Media/Auto-Video-Factory/archive/DJI_20260323085451_0008_D_short02/DJI_20260323085451_0008_D_short02_final.mp4","2026-08-03 11:29:23","2026-08-03 11:38:49"
"DJI_20260323085451_0008_D_short03","Long2Short","🎬 Rendered","/Volumes/Media/Camera/OsmoNano/202603/DJI_20260323085451_0008_D.MP4","Đánh Bóng Viền & Hoàn Thiện Bề Mặt Giày Da Thủ Công","Quy trình chăm chuốt đánh bóng viền mép và khôi phục bề mặt da giày chuẩn thủ công chuyên nghiệp. #giayda #danhbonggiay #chamsocgiayda #thucong #leathercraft","285.4s","25.0s","5","0.9","Epic Reveal, Zoom In, Satisfying Timewarp, Glow","/Volumes/Media/Auto-Video-Factory/archive/DJI_20260323085451_0008_D_short03/DJI_20260323085451_0008_D_short03_final.mp4","2026-08-03 11:30:17","2026-08-03 11:39:33"
"VID_20260713_090349","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260713_090349.mp4","Mở Hộp Khám Phá LineaBon K2+D3 Tăng Chiều Cao Cho Bé","Unboxing xịn xò LineaBon K2+D3 nhập khẩu chính hãng cùng quà tặng hấp dẫn. Kiểm tra tem chống hàng giả cực nét! #lineabon #k2d3 #unboxing #tangchieucao #chamsocbe","78.3s","72.0s","7","0.2","Fast Motion, Epic Reveal, Satisfying Timewarp, Glow, Zoom In, Cinematic Zoom, Smooth Transition","","2026-08-03 18:30:08",""
"VID_20260713_090349","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260713_090349.mp4","Mở Hộp Khám Phá LineaBon K2+D3 Tăng Chiều Cao Cho Bé","Unboxing xịn xò LineaBon K2+D3 nhập khẩu chính hãng cùng quà tặng hấp dẫn. Kiểm tra tem chống hàng giả cực nét! #lineabon #k2d3 #unboxing #tangchieucao #chamsocbe","78.3s","33.0s","5","0.75","Cinematic Zoom, Epic Reveal, Glow, Smooth Transition","/Volumes/Media/Auto-Video-Factory/archive/VID_20260713_090349/VID_20260713_090349_final.mp4","2026-08-03 18:30:08","2026-08-03 18:31:09"
"IMG_20251029_200932","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Bukit Bintang Đêm Rực Rỡ Từ Trên Cao","Khám phá góc nhìn cực chill toàn cảnh phố đêm Bukit Bintang và đài phun nước cầu vồng tuyệt đẹp tại Starhill. #BukitBintang #KualaLumpur #Nightlife #TravelTikTok #ShortFormContent","28.7s","28.0s","5","0.3","Smooth Transition, Epic Reveal, Satisfying Timewarp, Cinematic Zoom, Glow","","2026-08-04 19:04:09",""
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Bukit Bintang Đêm Rực Rỡ Từ Trên Cao","Khám phá góc nhìn cực chill toàn cảnh phố đêm Bukit Bintang và đài phun nước cầu vồng tuyệt đẹp tại Starhill. #BukitBintang #KualaLumpur #Nightlife #TravelTikTok #ShortFormContent","28.7s","25.0s","4","0.92","Epic Reveal, Satisfying Timewarp, Cinematic Zoom, Glow","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 19:04:09","2026-08-04 19:05:18"
"IMG_20251029_200932","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Đêm Bukit Bintang Sôi Động Từ Trên Cao","Khám phá khung cảnh đêm rực rỡ lung linh tại Kuala Lumpur với tháp LED nghệ thuật và dòng người nhộn nhịp. #BukitBintang #KualaLumpur #MalaysiaTravel #NightLife #ShortFormViral","28.7s","28.0s","4","0.3","Glow, Epic Reveal, Fast Motion, Cinematic Zoom","","2026-08-04 19:29:07",""
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Đêm Bukit Bintang Sôi Động Từ Trên Cao","Khám phá khung cảnh đêm rực rỡ lung linh tại Kuala Lumpur với tháp LED nghệ thuật và dòng người nhộn nhịp. #BukitBintang #KualaLumpur #MalaysiaTravel #NightLife #ShortFormViral","28.7s","25.0s","3","0.92","Epic Reveal, Fast Motion, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 19:29:07","2026-08-04 19:30:17"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Đêm Bukit Bintang Sôi Động Từ Trên Cao","Khám phá khung cảnh đêm rực rỡ lung linh tại Kuala Lumpur với tháp LED nghệ thuật và dòng người nhộn nhịp. #BukitBintang #KualaLumpur #MalaysiaTravel #NightLife #ShortFormViral","28.7s","25.0s","3","0.92","Epic Reveal, Fast Motion, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 19:29:07","2026-08-04 19:31:07"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Đêm Bukit Bintang Sôi Động Từ Trên Cao","Khám phá khung cảnh đêm rực rỡ lung linh tại Kuala Lumpur với tháp LED nghệ thuật và dòng người nhộn nhịp. #BukitBintang #KualaLumpur #MalaysiaTravel #NightLife #ShortFormViral","28.7s","25.0s","3","0.92","Epic Reveal, Fast Motion, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 19:29:07","2026-08-04 19:35:19"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Đêm Bukit Bintang Sôi Động Từ Trên Cao","Khám phá khung cảnh đêm rực rỡ lung linh tại Kuala Lumpur với tháp LED nghệ thuật và dòng người nhộn nhịp. #BukitBintang #KualaLumpur #MalaysiaTravel #NightLife #ShortFormViral","28.7s","25.0s","3","0.92","Epic Reveal, Fast Motion, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 19:29:07","2026-08-04 19:39:58"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Đêm Bukit Bintang Sôi Động Từ Trên Cao","Khám phá khung cảnh đêm rực rỡ lung linh tại Kuala Lumpur với tháp LED nghệ thuật và dòng người nhộn nhịp. #BukitBintang #KualaLumpur #MalaysiaTravel #NightLife #ShortFormViral","28.7s","25.0s","3","0.92","Epic Reveal, Fast Motion, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 19:29:07","2026-08-04 19:54:45"
"IMG_20251029_200932","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Khám Phá Đêm Kỳ Diệu Tại Đô Thị Sầm Uất","Góc nhìn toàn cảnh lung linh từ trên cao xuống đài phun nước rực rỡ sắc màu Starhill. #nightlife #cityview #starhill #travel #vibes","28.7s","28.0s","5","0.4","Cinematic Zoom, Epic Reveal, Glow, Satisfying Timewarp, Smooth Transition","","2026-08-04 20:00:46",""
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Khám Phá Đêm Kỳ Diệu Tại Đô Thị Sầm Uất","Góc nhìn toàn cảnh lung linh từ trên cao xuống đài phun nước rực rỡ sắc màu Starhill. #nightlife #cityview #starhill #travel #vibes","28.7s","25.0s","4","0.92","Epic Reveal, Glow, Satisfying Timewarp, Smooth Transition","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:00:46","2026-08-04 20:03:38"
"VID_20260719_175514","Long2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260719_175514.mp4","Đập Hộp Bộ Vòi Sen Tắm Inox Cao Cấp Siêu Sáng Bóng","Cùng trải nghiệm và đánh giá chi tiết bộ vòi sen tắm inox nguyên khối đầy đủ phụ kiện cho phòng tắm hiện đại. #voisen #thietbivesinh #reviewdoGiadung #unboxing","92.3s","32.0s","6","0.95","Epic Reveal, Speed Up, Glow, Zoom In, Smooth Transition, Cinematic Zoom","","2026-08-04 20:10:06",""
"VID_20260719_175514","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260719_175514.mp4","Đập Hộp Bộ Vòi Sen Tắm Inox Cao Cấp Siêu Sáng Bóng","Cùng trải nghiệm và đánh giá chi tiết bộ vòi sen tắm inox nguyên khối đầy đủ phụ kiện cho phòng tắm hiện đại. #voisen #thietbivesinh #reviewdoGiadung #unboxing","92.3s","30.0s","5","0.95","Epic Reveal, Glow, Zoom In, Smooth Transition, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/VID_20260719_175514/VID_20260719_175514_final.mp4","2026-08-04 20:10:06","2026-08-04 20:10:39"
"IMG_20251029_200932","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Phố Đêm Starhill Rực Rỡ Từ Trên Cao","Trải nghiệm không gian đêm vô cùng sầm uất với đài phun nước LED cầu vồng độc đáo tại trung tâm Starhill. #nightlife #starhill #travel #citylights #dulich","28.7s","28.0s","5","0.2","Static Intro Pass, Cinematic City Reveal, Neon Color Pulse, Urban Flow Energy, Outro Flare Focus","","2026-08-04 20:33:11",""
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Phố Đêm Starhill Rực Rỡ Từ Trên Cao","Trải nghiệm không gian đêm vô cùng sầm uất với đài phun nước LED cầu vồng độc đáo tại trung tâm Starhill. #nightlife #starhill #travel #citylights #dulich","28.7s","25.0s","4","0.92","Cinematic City Reveal, Neon Color Pulse, Urban Flow Energy, Outro Flare Focus","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:33:11","2026-08-04 20:35:23"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Phố Đêm Starhill Rực Rỡ Từ Trên Cao","Trải nghiệm không gian đêm vô cùng sầm uất với đài phun nước LED cầu vồng độc đáo tại trung tâm Starhill. #nightlife #starhill #travel #citylights #dulich","28.7s","25.0s","4","0.92","Cinematic City Reveal, Neon Color Pulse, Urban Flow Energy, Outro Flare Focus","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:33:11","2026-08-04 20:37:46"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Phố Đêm Starhill Rực Rỡ Từ Trên Cao","Trải nghiệm không gian đêm vô cùng sầm uất với đài phun nước LED cầu vồng độc đáo tại trung tâm Starhill. #nightlife #starhill #travel #citylights #dulich","28.7s","25.0s","4","0.92","Cinematic City Reveal, Neon Color Pulse, Urban Flow Energy, Outro Flare Focus","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:33:11","2026-08-04 20:39:56"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Phố Đêm Starhill Rực Rỡ Từ Trên Cao","Trải nghiệm không gian đêm vô cùng sầm uất với đài phun nước LED cầu vồng độc đáo tại trung tâm Starhill. #nightlife #starhill #travel #citylights #dulich","28.7s","25.0s","4","0.92","Cinematic City Reveal, Neon Color Pulse, Urban Flow Energy, Outro Flare Focus","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:33:11","2026-08-04 20:41:56"
"IMG_20251029_200932","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Bukit Bintang Kuala Lumpur Về Đêm Rực Rỡ","Trải nghiệm góc nhìn từ trên cao xuống con phố Bukit Bintang sầm uất tại Kuala Lumpur với đài phun nước đổi màu tuyệt đẹp. #KualaLumpur #BukitBintang #MalaysiaTravel #NightLife #CityView","28.7s","28.0s","3","0.92","City_Glow_Impact, Urban_Pulse, Night_Light_Showcase","","2026-08-04 20:47:05",""
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Bukit Bintang Kuala Lumpur Về Đêm Rực Rỡ","Trải nghiệm góc nhìn từ trên cao xuống con phố Bukit Bintang sầm uất tại Kuala Lumpur với đài phun nước đổi màu tuyệt đẹp. #KualaLumpur #BukitBintang #MalaysiaTravel #NightLife #CityView","28.7s","28.0s","3","0.92","City_Glow_Impact, Urban_Pulse, Night_Light_Showcase","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:47:05","2026-08-04 20:47:38"
"VID_20260719_175727","Short2Short","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260719_175727.mp4","Bộ Sạc Adapter Đa Năng Chất Lượng Cho Laptop","Cục sạc adapter nguồn chuẩn đét, có đèn báo tín hiệu cực tiện lợi! #saclaptop #adapter #congnghe #unboxing","45.5s","16.5s","5","0.2","Fast Cut, Reveal Impact, Detail Focus, LED Power Test, Showcase Final","","2026-08-04 20:52:11",""
"VID_20260719_175727","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/07/VID_20260719_175727.mp4","Bộ Sạc Adapter Đa Năng Chất Lượng Cho Laptop","Cục sạc adapter nguồn chuẩn đét, có đèn báo tín hiệu cực tiện lợi! #saclaptop #adapter #congnghe #unboxing","45.5s","13.5s","4","0.92","Reveal Impact, Detail Focus, LED Power Test, Showcase Final","/Volumes/Media/Auto-Video-Factory/archive/VID_20260719_175727/VID_20260719_175727_final.mp4","2026-08-04 20:52:11","2026-08-04 20:52:29"
"IMG_20251029_200932","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2025/10/IMG_20251029_200932.mp4","Ngắm Toàn Cảnh Bukit Bintang Kuala Lumpur Về Đêm Rực Rỡ","Trải nghiệm góc nhìn từ trên cao xuống con phố Bukit Bintang sầm uất tại Kuala Lumpur với đài phun nước đổi màu tuyệt đẹp. #KualaLumpur #BukitBintang #MalaysiaTravel #NightLife #CityView","28.7s","28.0s","3","0.92","City_Glow_Impact, Urban_Pulse, Night_Light_Showcase","/Volumes/Media/Auto-Video-Factory/archive/IMG_20251029_200932/IMG_20251029_200932_final.mp4","2026-08-04 20:47:05","2026-08-05 10:11:10"
